id,X,Y
15,-134.2993346161529,-144.81522510254916
15,-133.54711399313692,-144.90994918100301
15,-133.21836572085584,-144.9768132363822
15,-132.74474532858653,-145.03253328253155
15,-132.39928104246067,-145.06596531022115
15,-132.15968484401856,-144.99910125484195
6,-125.81038558530226,-144.3917527518142
6,-126.21156991757745,-144.40289676104408
6,-126.85235044829476,-144.2914566687454
6,-127.24239077134007,-144.23016461798116
6,-127.88317130205739,-144.1855885810617
6,-128.38465171740137,-144.18001657644675
6,-129.08672429888296,-144.04628846568835
6,-129.5157686542328,-143.94042037800463
6,-130.15097718033516,-143.90141634570008
6,-130.83076174335702,-143.91256035492995
6,-131.35453017716074,-143.82340828109102
6,-132.01202672172283,-143.82340828109102
6,-132.6583792570551,-143.8345522903209
6,-133.165431677014,-143.84012429493583
6,-133.81735621696117,-143.87355632262543
6,-134.4469927384486,-143.82898028570597
6,-135.11006128762568,-143.82340828109102
6,-135.80098985987738,-143.7509722210969
6,-136.3916223490603,-143.65624814264302
6,-136.98225483824322,-143.61167210572358
6,-137.62303536896053,-143.57266807341907
6,-138.31396394121225,-143.5615240641892
6,-138.7597243104069,-143.55595205957425
6,-139.2834927442106,-143.50023201342492
6,-139.84069320570393,-143.48351599958013
6,-139.99670933492206,-143.52252003188465
7,-168.34475122402594,-140.04393721109824
7,-167.84096835280496,-139.97822640180854
7,-167.37369148674492,-139.9417203966476
7,-166.98672783203895,-139.86870838632572
7,-166.5267521670111,-139.81029877806822
7,-165.84043926998535,-139.84315418271314
7,-165.58489723385878,-139.89061198942235
7,-165.2599937879264,-139.90156379097064
7,-164.91683733941355,-139.90156379097064
7,-164.41670506870867,-139.86140718529361
7,-164.30353645270975,-139.8029975770361
7,-164.23782564342005,-139.71903376516593
7,-164.00783781090612,-139.53285313884513
7,-163.81070538303703,-139.4963471336842
7,-163.5880187515553,-139.4999977342003
7,-163.18280209426885,-139.5511061414256
7,-162.72647702975715,-139.5620579429739
7,-162.49283859672713,-139.53285313884513
7,-162.29570616885803,-139.52190133729687
7,-161.9379473182808,-139.58396154607047
7,-161.61304387234844,-139.59491334761873
7,-161.31004402951262,-139.6095157496831
7,-160.97783938254807,-139.66427475742452
7,-160.71499614538928,-139.70443136310155
7,-160.3353336917155,-139.77014217239125
7,-160.10169525868548,-139.8139493785844
7,-159.84980382307498,-139.84680478322923
7,-159.67457499830246,-139.86140718529361
7,-159.3423703513379,-139.88331078839016
7,-159.1598403255332,-139.89061198942235
7,-158.89334648785834,-139.90521439148674
7,-158.56479244140985,-139.94172039664767
7,-158.32385280734766,-139.96362399974424
7,-158.11576857793028,-139.95632279871205
7,-157.8602265418037,-139.93806979613157
7,-157.36464771966868,-139.88400101833327
7,-156.63471511511244,-139.72798488911513
7,-156.1610947228431,-139.55525274605222
7,-155.64289829365433,-139.44381265375355
7,-155.29743400752847,-139.44938465836847
7,-154.6956575091157,-139.5385367322074
7,-154.16631707069706,-139.67783684758075
7,-153.54225255382454,-139.82828097218393
7,-152.78445992619362,-139.88400101833327
7,-152.24954748316006,-139.92857705525273
7,-151.56419091552328,-139.89514502756313
7,-151.0961425278689,-140.02887313832153
7,-150.65038215867423,-140.1068812029306
7,-150.34392190485292,-140.0400171475514
7,-149.93159356334786,-140.11802521216046
7,-149.418969138774,-140.2071772859994
7,-148.70018054344763,-140.36319341521752
7,-148.25999217886792,-140.41891346136686
7,-148.03711199427062,-140.47184750520876
7,-147.43812149816532,-140.4607034959789
7,-146.90320905513173,-140.38548143367728
7,-146.50202472285653,-140.28797135291595
7,-145.18703163373232,-140.49413552366846
7,-144.73569925992274,-140.51085153751328
7,-144.27879488149821,-140.47184750520873
